"Enclosure_Name";"Enclosure_IP";"Bay";"ProductName";"SerialNumber";"ServerName";"AssetTag";"CPU1";"CPU2";"Memory";"NIC1_MAC";"NIC2_MAC";"ManagementType";"ManagementIP";"ProcSingleCoreSpeed";"ProcCores";"ProcCoresLogical";"ProcCombinedCoresSpeed";"Eth0_IP";"Eth1_IP"
;"10.100.201.121";"1";;;;;;;;;;;;;;;;;
;"10.100.201.121";"2";;;;;;;;;;;;;;;;;
;"10.100.201.121";"3";;;;;;;;;;;;;;;;;
;"10.100.201.121";"4";;;;;;;;;;;;;;;;;
;"10.100.201.121";"5";;;;;;;;;;;;;;;;;
;"10.100.201.121";"6";;;;;;;;;;;;;;;;;
;"10.100.201.121";"7";;;;;;;;;;;;;;;;;
;"10.100.201.121";"8";;;;;;;;;;;;;;;;;
;"10.100.201.121";"9";;;;;;;;;;;;;;;;;
;"10.100.201.121";"10";;;;;;;;;;;;;;;;;
;"10.100.201.121";"11";;;;;;;;;;;;;;;;;
;"10.100.201.121";"12";;;;;;;;;;;;;;;;;
;"10.100.201.121";"13";;;;;;;;;;;;;;;;;
;"10.100.201.121";"14";;;;;;;;;;;;;;;;;
;"10.100.201.121";"15";;;;;;;;;;;;;;;;;
;"10.100.201.121";"16";;;;;;;;;;;;;;;;;
;"10.100.201.221";"1";;;;;;;;;;;;;;;;;
;"10.100.201.221";"2";;;;;;;;;;;;;;;;;
;"10.100.201.221";"3";;;;;;;;;;;;;;;;;
;"10.100.201.221";"4";;;;;;;;;;;;;;;;;
;"10.100.201.221";"5";;;;;;;;;;;;;;;;;
;"10.100.201.221";"6";;;;;;;;;;;;;;;;;
;"10.100.201.221";"7";;;;;;;;;;;;;;;;;
;"10.100.201.221";"8";;;;;;;;;;;;;;;;;
;"10.100.201.221";"9";;;;;;;;;;;;;;;;;
;"10.100.201.221";"10";;;;;;;;;;;;;;;;;
;"10.100.201.221";"11";;;;;;;;;;;;;;;;;
;"10.100.201.221";"12";;;;;;;;;;;;;;;;;
;"10.100.201.221";"13";;;;;;;;;;;;;;;;;
;"10.100.201.221";"14";;;;;;;;;;;;;;;;;
;"10.100.201.221";"15";;;;;;;;;;;;;;;;;
;"10.100.201.221";"16";;;;;;;;;;;;;;;;;
"Rack2Top";"10.100.202.122";"1";"ProLiant BL460c Gen9";"CZ253907YD";"170904";"170904";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"524288 MB";"EC:B1:D7:9E:8C:50";"EC:B1:D7:9E:8C:58";"iLO4";"10.100.202.101";;;;;;
"Rack2Top";"10.100.202.122";"2";"ProLiant BL460c Gen9";"CZ35336PD3";"171153";"171153";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"262144 MB";"6C:C2:17:3E:BD:F0";"6C:C2:17:3E:BD:F8";"iLO4";"10.100.202.102";;;;;;
"Rack2Top";"10.100.202.122";"3";"ProLiant BL460c Gen9";"CZ264904KD";"171669";"171669";"Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz (10 cores)";"524288 MB";"9C:DC:71:61:EC:D0";"9C:DC:71:61:EC:D8";"iLO4";"10.100.202.103";;;;;;
"Rack2Top";"10.100.202.122";"4";"ProLiant BL460c Gen9";"CZ3519XHFB";"178088";"178088";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"Intel(R) Xeon(R) CPU E5-2660 v3 @ 2.60GHz (10 cores)";"524288 MB";"8C:DC:D4:1B:8B:60";"8C:DC:D4:1B:8B:68";"iLO4";"10.100.202.104";;;;;;
